VL-Stunde Kosmos-Vorträge an der Berliner Universität, vgl. z. B. deutschestextarchiv.de/parthey_msgermqu1711_1828	Thema	Signatur: SBB-PK, Nachl. A. v. Humboldt ,... [...	Materialart	Datum	Pers.name [GND]	Bemerkungen
24	Astronomie: Saturn	kl. Kasten 3b, Nr. 90 Bl. 10 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN815575254&PHYSID=PHYS_0021]	Notizzettel, Vorlesungs-MSS	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
27	Geologie: Abplattung der Erde	gr. Kasten 9 Nr. 32 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN825685664&PHYSID=PHYS_0022]	Notizzettel, Vorlesungs-MSS	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
30	Geologie, Magnetismus: Inklination der Magnetnadel	gr. Kasten 9, Nr. 43 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN825685788]	Brief	Metz, 13.12.1827	Arago, François <a href="http://d-nb.info/gnd/118847767">[GND]</a>	
32	Geologie: Erdbeben	gr. Kasten 8, Nr. 112/8 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792353684]	Brief	Bogotà, 29.06.1826	Boussingault, Jean-Baptiste <a href="http://d-nb.info/gnd/101165250">[GND]</a>	
32	Geologie: Erdbeben, Vulkanismus, Chimborazo	Nachl. Alexander von Humboldt (Tagebücher) VII bb/c [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN779884310&PHYSID=PHYS_0540]	Tagebuch	Calpi, 1802 [verm.]	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
34	Geologie, Vulkanismus: Höhe des Ätna (10200 Toisen?)	gr. Kasten 5, Nr. 7, Blatt 1-29  [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363210&PHYSID=PHYS_0011]	Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
35	Geologie, Vulkanismus: Höhe des Ätna	gr. Kasten 5, Nr. 7, Blatt 34  [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363172&PHYSID=PHYS_0001]	Briefabschrift	o.O., 02.08.1825	Herschel, John F. W.  <a href="http://d-nb.info/gnd/118703897">[GND]</a>	
35	Geologie, Vulkanismus: Höhenmessung des Vesuv, Kraterrand	gr. Kasten 5, Nr. 7, Blatt 35-35b [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363180&PHYSID=PHYS_0003]	Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
35	Geologie, Vulkanismus: Kritischer Vergleich der Höhenmessungen des Vesuv	gr. Kasten 5, Nr. 24 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363482&PHYSID=PHYS_0001]	Akademieabhandlung	o.O., 1825	Oltmanns, Jabbo <a href="http://d-nb.info/gnd/117123544">[GND]</a>	
36	Geologie: Tiefste Grube Thonhofer Zug	gr. Kasten 4, Nr. 21, Blatt 14  [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN81731136X&PHYSID=PHYS_0001]	Brieffragment	o.O., 1826 [Humb. Dat.]	Freiesleben, Johann Carl <a href="http://d-nb.info/gnd/104260106">[GND]</a>	
36	Geologie: Tiefste Grube Neusalzwerk	gr. Kasten 11, Nr. 60, Bl. 1r [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832954810]	Brief	Berlin, 09.02.1844	Oeynhausen, Carl von <a href="http://d-nb.info/gnd/117110213">[GND]</a>	
36	Geologie: Tiefste Grube Mexiko, Valenciana	Nachl. Alexander von Humboldt (Tagebücher) IX [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN779884841&PHYSID=PHYS_0291]	Tagebuch	Calpi, 1802 [verm.]	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
37	Geologie: Basalt aus Spalten	gr. Kasten 11, Nr. 60; 2-5 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832954837&PHYSID=PHYS_0008]	Brief, MSS	o.O., 1822 [1823?]	Dechen, Heinrich von <a href="http://d-nb.info/gnd/123197066">[GND]</a>	
37	Geologie: Theorie der Geschiebe	gr. Kasten 11, Nr. 48, Blatt 1 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832956740&PHYSID=PHYS_0001]	Brief, MSS	o.O., o.D.	Buch, Leopold von <a href="http://d-nb.info/gnd/116817569">[GND]</a>	Humboldt bezieht sich auf: Buch, Leopold von: Ueber die Ursachen der Verbreitung grosser Alpengeschiebe.  Gelesen in der Akademie der Wissenschaften am 31.10.1811. In: Leopold von Buch's gesammelte Schriften, Band 2. Berlin, 1870. S. 597-623.
37	Geologie: Gebirgsbildung Alpen, Übergang von Gneis in Glimmerschiefer	gr. Kasten 11, Nr. 28.29, Bl. 6 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832954187&PHYSID=PHYS_0001]	Brief	Inspruck[!], 14.11.1822	Buch, Leopold von <a href="http://d-nb.info/gnd/116817569">[GND]</a>	Der Brief wird zitiert in Kosmos V, S. 90 [http://www.deutschestextarchiv.de/humboldt_kosmos0501_1862/97] .
39	Geologie: Gliederung der Kontinente, erste Erwähnung der Pyramidalform (Bacon)	gr. Kasten 11, Nr. 7; 3-15 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832953792&PHYSID=PHYS_0025]	Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Bezug zu Kosmos I, S. 307 [http://www.deutschestextarchiv.de/humboldt_kosmos01_1845/326] .
40	Geologie: Relative vs. absolute Höhe der Kontinente/Berge; Auflistung von Bergen im Himalaya, Verhältnis der Gipfel zu den Rücken	gr. Kasten 2, Mappe 2, Nr. 9 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792893778&PHYSID=PHYS_0013]	Druck, MSS, Brief	Paris, 1825	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
40	Geologie: Höhe des Mont Blanc [2462 Toisen]	gr. Kasten 5, Nr. 7, Bl. 32a;32;33;33b;33c [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363199&PHYSID=PHYS_0009]	MSS	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
40	Geologie: Verhältnis der Gipfel zu den Rücken: Schweden	gr. Kasten 5, Nr. 12 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN82636327X&PHYSID=PHYS_0033]	MSS, Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
40	Geologie: Verhältnis der Gipfel zu den Rücken: Pyrenäen, Alpen, Anden, …	gr. Kasten 5, Nr. 13.14, Bl. 21-29 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363326&PHYSID=PHYS_0002]	MSS, Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vgl.: De quelques phénomènes physiques et géologiques qu'ofrent les Cordillières des Andes de Quito et la partie occidentale de l'Himalaya. In: Annales des Sciences Naturelles IV (1825) S. 225-253 [gelesen in der Académie des Sciences am 7. u. 14.3.1825]
40	Geologie: Lignes de faites, Kammlinien, Methode zu deren Berechnung	gr. Kasten 5, Nr. 24a [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363490&PHYSID=PHYS_0001]	MSS	o.O., O.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vgl.: De quelques phénomènes physiques et géologiques qu'ofrent les Cordillières des Andes de Quito et la partie occidentale de l'Himalaya. In: Annales des Sciences Naturelles IV (1825) S. 225-253 [gelesen in der Académie des Sciences am 7. u. 14.3.1825]
41	Ozeanographie: Plutarch über die Tiefe des Meeres und die Höhe der Berge	gr. Kasten 11, Nr. 22 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN83295408X&PHYSID=PHYS_0001]	Brief	Florence, 18.11.1825	Libri, Guillaume <a href="http://d-nb.info/gnd/118779877">[GND]</a>	
42	Ozeanographie: Differenz der Oberflächentemperatur des Meeres Tag/Nacht	gr. Kasten 1, Mappe 7, Nr. 8 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN789851334&PHYSID=PHYS_0002]	Brief, MSS	o.O., o.D. [1825]	Wilson, Thomas <a href="http://d-nb.info/gnd/117581283">[GND]</a>	
42	Ozeanographie: Temperaturabnahme im Ozean	gr. Kasten 11, Nr. 21 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN832954063&PHYSID=PHYS_0001]	Brief, Notizen	o.O., 6.10.1827	Dumont D'Urville, Jules-Sébastien-César <a href="http://d-nb.info/gnd/117663182">[GND]</a>	
44	Meteorologie: Atmosphäre; nächtliche Verstärkung des Schalls	gr. Kasten 2, Mappe 2, Nr. 11 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792893794]	Druck	o.O., 1820	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
44	Meteorologie: Atmosphäre; Variation des Barometers, kein Einfluss von Sonne und Mond	gr. Kasten 5, Nr. 30a, Blatt 1-14 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363660&PHYSID=PHYS_0013]	MSS, Notiz	o.O., o.D. [1822]	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vgl.: Humboldt, Alexander von: Beobachtungen über die stündlichen Variationen des Barometers […]. Notizen aus dem Gebiete der Natur- und Heilkunde, Bd. 12, Nr. 247 von 1825 (1826), S. 65-71 [http://www.deutschestextarchiv.de/humboldt_beobachtungen_1826/3] .
